1571421,26101,https://www.rakumachi.jp/data/images/property/06/88/47/65/42501326_x4y4.jpg;https://www.rakumachi.jp/data/images/property/09/82/26/95/42501327_x4y4.jpg;https://www.rakumachi.jp/data/images/property/03/72/96/84/42501328_x4y4.jpg;https://www.rakumachi.jp/data/images/property/05/79/23/80/42501329_x4y4.jpg,〜★【現況6/8室賃貸中】オーナチェンジ物件です！★〜,京都府京都市北区西賀茂蟹ケ坂町地図を見る,京都市営烏丸線北大路駅バス25分,3980万円,8.33%,"3,319,200円(276,600円/月)",木造,2階建て,1993年10月（築26年）,171.72㎡,1R×8戸,8戸,,219.60㎡実測,所有権,,,,,,,不要,,賃貸中,相談,2019/01/26,2018/12/26,,000000182587554,,仲介
1568346,26101,https://www.rakumachi.jp/data/images/property/09/97/18/29/42415153_x4y4.jpg;https://www.rakumachi.jp/data/images/property/04/75/66/36/42415154_x4y4.jpg;https://www.rakumachi.jp/data/images/property/04/83/17/86/42415155_x4y4.jpg;https://www.rakumachi.jp/data/images/property/09/97/78/87/42415156_x4y4.jpg;https://www.rakumachi.jp/data/images/property/05/95/03/64/42415157_x4y4.jpg;https://www.rakumachi.jp/data/images/property/03/54/78/95/42415158_x4y4.jpg;https://www.rakumachi.jp/data/images/property/09/78/42/37/42415159_x4y4.jpg;https://www.rakumachi.jp/data/images/property/07/02/49/95/42415160_x4y4.jpg;https://www.rakumachi.jp/data/images/property/02/19/29/94/42415161_x4y4.jpg;https://www.rakumachi.jp/data/images/property/09/39/47/55/42415162_x4y4.jpg,●○●【京都市】近隣に小・中学校有り【北大路駅】,京都府京都市北区紫野西野町地図を見る,京都市営烏丸線北大路駅徒歩22分,2800万円,,,鉄骨造,3階建て,1980年03月（築39年）,117.22㎡,,,,44.85㎡公簿,所有権,,,,,,,,,居住中,相談,2019/03/21,2018/12/21,,,,仲介
1566149,26101,https://www.rakumachi.jp/data/images/property/06/05/37/10/42367210_x4y4.jpg;https://www.rakumachi.jp/data/images/property/03/42/67/99/42367211_x4y4.jpg;https://www.rakumachi.jp/data/images/property/09/75/67/25/42367212_x4y4.jpg;https://www.rakumachi.jp/data/images/property/07/11/63/62/42367213_x4y4.jpg;https://www.rakumachi.jp/data/images/property/02/06/67/50/42367214_x4y4.jpg;https://www.rakumachi.jp/data/images/property/09/34/97/03/42367215_x4y4.jpg,京都市北区5500万円8.6％一棟マンション,京都府京都市北区紫野門前町地図を見る,京都市営烏丸線北大路駅徒歩15分,5500万円,8.64%,"4,753,500円(396,125円/月)",鉄骨造,地上3階地下1階,1995年02月（築24年）,194.39㎡,1LDK×1戸2DK×1戸地下フロアー×1戸,3戸,駐車場4台分,86.84㎡公簿,所有権,,宅地,市街化区域,近隣商業地域,80%,200%,,公道東11.00m公道南3.00m,賃貸中,相談,2019/01/18,2018/12/19,,,※容積率オーバー,専任媒介
1564707,26101,https://www.rakumachi.jp/data/images/property/07/73/06/23/42327943_x4y4.jpg;https://www.rakumachi.jp/data/images/property/01/16/08/30/42327944_x4y4.jpg,◎★京産大通学圏内★オーナーチェンジ★風情残る京都です★◎,京都府京都市北区上賀茂朝露ケ原町地図を見る,京都市営烏丸線北山駅バス7分,890万円,6.29%,"560,000円(46,666円/月)",木造,2階建て,1957年01月（築63年）,34.59㎡,3K,,,29.17㎡公簿,所有権,,,市街化区域,第一種住居地域,60%,200%,不要,,賃貸中,相談,2019/01/26,2018/12/26,,000008182572950,,仲介
1564118,26101,https://www.rakumachi.jp/data/images/property/00/87/71/87/42304803_x4y4.jpg;https://www.rakumachi.jp/data/images/property/08/85/62/20/42304804_x4y4.jpg;https://www.rakumachi.jp/data/images/property/08/69/28/84/42304805_x4y4.jpg;https://www.rakumachi.jp/data/images/property/00/53/73/50/42304806_x4y4.jpg;https://www.rakumachi.jp/data/images/property/08/11/22/20/42304807_x4y4.jpg;https://www.rakumachi.jp/data/images/property/09/30/34/53/42304808_x4y4.jpg;https://www.rakumachi.jp/data/images/property/01/94/11/34/42304809_x4y4.jpg;https://www.rakumachi.jp/data/images/property/07/20/58/54/42304810_x4y4.jpg;https://www.rakumachi.jp/data/images/property/09/72/78/14/42304811_x4y4.jpg;https://www.rakumachi.jp/data/images/property/03/30/60/66/42304812_x4y4.jpg,●○●[[改装済み]]初めての方もご相談ください。,京都府京都市北区紫野中柏野町地図を見る,京福電気鉄道北野線北野白梅町駅徒歩19分,4680万円,7.69%,"3,600,000円(300,000円/月)",軽量鉄骨造,3階建て,1970年05月（築49年）,181.91㎡,,,,78.62㎡公簿,所有権,,,,,,,,,賃貸中,相談,2019/03/16,2018/12/16,,,,仲介
1562785,26101,https://www.rakumachi.jp/data/images/property/08/96/54/81/42275760_x4y4.jpg;https://www.rakumachi.jp/data/images/property/08/57/13/34/42275761_x4y4.jpg;https://www.rakumachi.jp/data/images/property/00/29/67/41/42275762_x4y4.jpg;https://www.rakumachi.jp/data/images/property/08/25/06/73/42275763_x4y4.jpg;https://www.rakumachi.jp/data/images/property/09/21/24/58/42275764_x4y4.jpg;https://www.rakumachi.jp/data/images/property/01/70/43/50/42275765_x4y4.jpg;https://www.rakumachi.jp/data/images/property/07/37/07/28/42275766_x4y4.jpg;https://www.rakumachi.jp/data/images/property/09/66/91/94/42275767_x4y4.jpg;https://www.rakumachi.jp/data/images/property/03/07/78/47/42275768_x4y4.jpg;https://www.rakumachi.jp/data/images/property/06/34/32/58/42275769_x4y4.jpg,☆北区紫野下柏野町☆,京都府京都市北区紫野下柏野町59-21地図を見る,京福電気鉄道北野線北野白梅町駅徒歩17分,980万円,,,木造,2階建て,1981年03月（築38年）,57.64㎡,3K,,,42.12㎡公簿,所有権,,宅地,市街化区域,準工業地域,60%,200%,,私道西2.20m,空室あり,相談,2019/03/15,2018/12/15,,,,一般媒介
1562548,26101,https://www.rakumachi.jp/data/images/property/08/34/12/07/42262736_x4y4.jpg;https://www.rakumachi.jp/data/images/property/00/13/46/28/42262737_x4y4.jpg;https://www.rakumachi.jp/data/images/property/08/48/66/87/42262738_x4y4.jpg;https://www.rakumachi.jp/data/images/property/09/03/61/25/42262739_x4y4.jpg,京都北区【現況6/8室賃貸中】オーナチェンジ物件です！,京都府京都市北区西賀茂蟹ケ坂町地図を見る,京都市営烏丸線北大路駅バス25分,3980万円,8.33%,"3,319,200円(276,600円/月)",木造,2階建て,1993年10月（築26年）,171.72㎡,1R×8戸,8戸,,219.60㎡実測,所有権,,,,,,,不要,,賃貸中,相談,2019/01/26,2018/12/26,,000000182565468,,仲介
1562538,26101,https://www.rakumachi.jp/data/images/property/08/43/95/37/42262716_x4y4.jpg;https://www.rakumachi.jp/data/images/property/09/07/36/85/42262717_x4y4.jpg;https://www.rakumachi.jp/data/images/property/01/36/55/28/42262718_x4y4.jpg;https://www.rakumachi.jp/data/images/property/07/59/80/89/42262719_x4y4.jpg,京都市北区賃貸中仲介,京都府京都市北区衣笠開キ町地図を見る,京都市営烏丸線北大路駅バス8分,5180万円,12.60%,"6,528,000円(544,000円/月)",軽量鉄骨造,2階建て,1978年03月（築41年）,261.95㎡,1R×17戸,1戸,,258.57㎡公簿,所有権,,宅地,市街化区域,第一種中高層住居専用地域,60%,200%,不要,公道東6.00m公道南5.00m二方,賃貸中,相談,2019/01/26,2018/12/26,,000000182565415,,仲介
1562500,26101,https://www.rakumachi.jp/data/images/property/06/53/61/68/42260933_x4y4.jpg;https://www.rakumachi.jp/data/images/property/02/83/69/61/42260934_x4y4.jpg;https://www.rakumachi.jp/data/images/property/09/60/18/01/42260935_x4y4.jpg;https://www.rakumachi.jp/data/images/property/07/53/87/90/42260936_x4y4.jpg;https://www.rakumachi.jp/data/images/property/01/45/53/50/42260937_x4y4.jpg;https://www.rakumachi.jp/data/images/property/09/11/14/48/42260938_x4y4.jpg;https://www.rakumachi.jp/data/images/property/08/39/05/22/42260939_x4y4.jpg;https://www.rakumachi.jp/data/images/property/00/04/46/10/42260940_x4y4.jpg;https://www.rakumachi.jp/data/images/property/08/43/87/29/42260941_x4y4.jpg;https://www.rakumachi.jp/data/images/property/09/07/43/19/42260942_x4y4.jpg,●○●【京都市北区】単身者が多いエリアで【想定利回り7％】,京都府京都市北区西小野堀町地図を見る,京都市営烏丸線北大路駅徒歩15分,2800万円,7.07%,"1,980,000円(165,000円/月)",鉄骨造,3階建て,1983年02月（築36年）,90.72㎡,,,,63.36㎡公簿,所有権,,宅地,,,60%,200%,,,賃貸中,相談,2019/03/14,2018/12/14,,,,仲介
1560046,26101,https://www.rakumachi.jp/data/images/property/09/12/48/94/42195285_x4y4.jpg;https://www.rakumachi.jp/data/images/property/08/37/26/61/42195286_x4y4.jpg;https://www.rakumachi.jp/data/images/property/00/07/73/57/42195287_x4y4.jpg;https://www.rakumachi.jp/data/images/property/08/45/62/54/42195288_x4y4.jpg;https://www.rakumachi.jp/data/images/property/09/06/05/10/42195289_x4y4.jpg,"【京都市北区】4,680万円◎満室想定利回り7.69％",京都府京都市北区紫野中柏野町地図を見る,京都市営烏丸線北大路駅バス11分バス「乾隆校前」停徒歩2分,4680万円,7.69%,"3,600,000円(300,000円/月)",軽量鉄骨造,3階建て,1970年05月（築49年）,181.91㎡,,3戸,,78.62㎡公簿,所有権,,宅地,市街化区域,準工業地域,60%,300%,,,賃貸中,相談,2018/12/25,2018/12/11,,3012111945,,仲介
